"Kecamatan","Jumlah Persetujuan Bangunan Gedung**","Jumlah Bangunan Tidak Memiliki IMB**","Jumlah Bangunan Gedung Memiliki Sertifikat Laik Fungsi**","Jumlah Bangunan Gedung Tidak Memiliki Sertifikat Laik Fungsi**"
"Buahdua","1","-","-","-"
"Cibugel","1","-","-","-"
"Cimalaka","9","-","-","-"
"Cimanggung","15","-","-","-"
"Cisarua","0","-","-","-"
"Cisitu","1","-","-","-"
"Conggeang","2","-","-","-"
"Darmaraja","2","-","-","-"
"Ganeas","1","-","-","-"
"Jatigede","0","-","-","-"
"Jatinangor","24","-","-","-"
"Jatinunggal","1","-","-","-"
"Kabupaten Sumedang","130","0","0","0"
"Pamulihan","7","-","-","-"
"Paseh","0","-","-","-"
"Rancakalong","3","-","-","-"
"Situraja","2","-","-","-"
"Sukasari","2","-","-","-"
"Sumedang Selatan","11","-","-","-"
"Sumedang Utara","26","-","-","-"
"Surian","0","-","-","-"
"Tanjungkerta","1","-","-","-"
"Tanjungmedar","2","-","-","-"
"Tanjungsari","13","-","-","-"
"Tomo","3","-","-","-"
"Ujungjaya","1","-","-","-"
"Wado","2","-","-","-"
