"Kecamatan","Jumlah Kejahatan yang dilaporkan","Risiko Penduduk Terjadi Tindak Pidana per 100.000 Penduduk"
"[010] Jatinangor","34","39.26"
"[020] Cimanggung","23","22.15"
"[030] Tanjungsari","20","25.48"
"[031] Sukasari","2","5.38"
"[032] Pamulihan","9","14.44"
"[040] Rancakalong","5","11.68"
"[050] Sumedang Selatan","15","18.53"
"[060] Sumedang Utara","17","18.5"
"[061] Ganeas","4","15.28"
"[070] Situraja","4","9.72"
"[071] Cisitu","5","16.86"
"[080] Darmaraja","5","11.61"
"[090] Cibugel","3","12.18"
"[100] Wado","3","5.7"
"[101] Jatinunggal","1","2.32"
"[111] Jatigede","4","14.66"
"[120] Tomo","6","23.07"
"[130] Ujungjaya","3","8.91"
"[140] Conggeang","1","3.17"
"[150] Paseh","11","28.48"
"[160] Cimalaka","7","11.14"
"[161] Cisarua","6","27.54"
"[170] Tanjungkerta","4","10.61"
"[171] Tanjungmedar","1","3.7"
"[180] Buahdua","5","14"
"[181] Surian","3","24.83"
"Kab. Sumedang","213","18.48"
