1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
No,Kecamatan                                                 ,Jumlah Usaha Mikro Bidang Kuliner ,Jumlah Usaha Kecil Bidang Kuliner ,Jumlah Usaha Menengah Bidang Kuliner ,Jumlah Usaha Mikro Bidang Fashion ,Jumlah Usaha Kecil Bidang Fashion ,Jumlah Usaha Menengah Bidang Fashion ,Jumlah Usaha Mikro Bidang Pendidikan ,Jumlah Usaha Kecil Bidang Pendidikan ,Jumlah Usaha Menengah Bidang Pendidikan ,Jumlah Usaha Mikro Bidang Otomotif ,Jumlah Usaha Kecil Bidang Otomotif ,Jumlah Usaha Menengah Bidang Otomotif ,Jumlah Usaha Mikro Bidang Agrobisnis ,Jumlah Usaha Kecil Bidang Agrobisnis ,Jumlah Usaha Menengah Bidang Agrobisnis ,Jumlah Usaha Mikro Bidang Teknologi Internet ,Jumlah Usaha Kecil Bidang Teknologi Internet  ,Jumlah Usaha Menengah Bidang Teknologi Internet  ,Jumlah Usaha Mikro Bidang Handycraft,Jumlah Usaha Kecil Bidang Handycraft  ,Jumlah Usaha Menengah Bidang Handycraftr ,Jumlah Usaha Mikro Bidang Jasa,Jumlah Usaha Kecil Bidang Jasa,Jumlah Usaha Menengah Bidang Jasa,Jumlah Usaha Mikro Bidang Perdagangan,Jumlah Usaha Kecil Bidang Perdagangan,Jumlah Usaha Menengah Bidang Perdagangan
1,Jatinangor,175,21,10,12,1,3,-,-,-,-,-,-,9,1,3,-,-,-,123,18,4,48,12,0,216,121,121
2,Cimanggung,141,17,15,12,3,1,-,-,-,-,-,-,8,2,2,-,-,-,17,14,1,15,2,0,209,120,55
3,Tanjungsari,153,23,25,21,10,7,-,-,-,-,-,-,27,28,2,-,-,-,31,13,0,40,3,0,213,112,101
4,Sukasari,134,15,12,25,1,4,-,-,-,-,-,-,5,13,15,-,-,-,53,4,0,57,2,0,181,125,64
5,Pamulihan,135,19,9,12,5,3,-,-,-,-,-,-,9,1,2,-,-,-,103,20,0,28,21,0,179,114,54
6,Rancakalong,216,18,5,13,7,2,-,-,-,-,-,-,1,1,1,-,-,-,15,7,0,29,3,4,187,111,41
7,Sumedang Selatan,267,16,16,10,14,12,-,-,-,-,-,-,2,1,0,-,-,-,19,5,1,16,6,2,225,134,82
8,Sumedang Utara,229,12,12,15,20,10,-,-,-,-,-,-,1,1,0,-,-,-,8,17,15,27,1,0,212,114,68
9,Ganeas,154,12,4,10,10,3,-,-,-,-,-,-,2,2,0,-,-,-,11,10,1,14,10,0,193,125,41
10,Situraja,195,14,8,11,4,4,-,-,-,-,-,-,4,1,2,-,-,-,33,18,0,16,3,0,218,115,62
11,Cisitu,144,13,6,14,10,2,-,-,-,-,-,-,6,13,0,-,-,-,12,9,2,13,4,0,188,134,50
12,Darmaraja,223,11,12,10,5,1,-,-,-,-,-,-,8,12,1,-,-,-,15,14,0,56,39,1,212,123,52
13,Cibugel,135,14,7,27,5,1,-,-,-,-,-,-,182,1,3,-,-,-,150,2,0,111,33,1,196,131,42
14,Wado,238,12,9,10,4,2,-,-,-,-,-,-,1,2,1,-,-,-,30,11,0,29,19,5,201,132,53
15,Jatinunggal,143,29,6,10,10,4,-,-,-,-,-,-,1,1,1,-,-,-,12,5,1,20,11,0,188,120,60
16,Jatigede,145,26,4,10,15,2,-,-,-,-,-,-,4,4,2,-,-,-,6,13,0,10,13,0,191,120,52
17,Tomo,144,28,6,17,8,3,-,-,-,-,-,-,5,19,13,-,-,-,20,12,5,17,5,0,196,106,70
18,Ujungjaya,139,11,8,15,2,1,-,-,-,-,-,-,8,13,3,-,-,-,11,3,1,33,0,0,235,104,56
19,Conggeang,139,16,6,15,1,2,-,-,-,-,-,-,2,1,5,-,-,-,108,13,0,13,5,0,185,123,53
20,Paseh,158,21,11,11,2,5,-,-,-,-,-,-,2,9,2,-,-,-,61,32,52,23,1,1,182,156,43
21,Cimalaka,154,12,18,14,3,6,-,-,-,-,-,-,14,5,1,-,-,-,33,22,1,23,27,3,195,132,70
22,Cisarua,168,14,6,5,4,2,-,-,-,-,-,-,6,2,2,-,-,-,12,15,0,13,11,0,189,113,52
23,Tanjungkerta,169,13,10,12,2,1,-,-,-,-,-,-,11,4,3,-,-,-,16,4,1,43,20,0,184,101,48
24,Tanjungmedar,158,15,6,5,4,3,-,-,-,-,-,-,1,5,1,-,-,-,15,12,1,26,10,0,178,111,50
25,Buahdua,165,14,8,12,10,5,-,-,-,-,-,-,7,61,2,-,-,-,43,10,4,18,21,4,185,113,62
26,Surian,153,10,5,2,5,1,-,-,-,-,-,-,4,5,0,-,-,-,2,5,0,27,27,0,175,114,47
,Sumedang,4374,426,244,330,165,90,-,-,-,-,-,-,330,208,67,-,-,-,959,308,90,765,309,21,5113,3124,1549
